Year,Month    ,Volume,Value (Kshs Millions)
2024,February,"667,417",3786455.35
2024,January,"652,794",3397702.89
2023,December,"639,439",3187368.94
2023,November,"671,652",3267367.9
2023,October,"707,934",3614243.14
2023,September,"654,807",3521815.85
2023,August,"674,237",3402035.69
2023,July,"666,810",3508074.74
2023,June,"677,951",4251106.22
2023,May,"698,299",3794768.07
2023,April,"564,137",3210584.16
2023,March,"695,873",3690184.69
2023,February,"606,702",3107813.04
2023,January,"589,618",3187584.45
2022,December,"651,484",3346761
2022,November,"637,546",3350286.75
2022,October,"598,925",2989334.81
2022,September,"609,514",3376713
2022,August,"587,315",3376618.49
2022,July,"578,964",3499539.32
2022,June,"608,173",3669498.76
2022,May,"608,117",3098910.19
2022,April,"534,971",3085538.66
2022,March,"625,911",3093312.85
2022,February,"533,234",2540790.99
2022,January,"497,216",2724434.56
2021,December,"581,459",2855526.6
2021,November,"563,388",2641584.34
2021,October,"519,229",2552135.36
2021,September,"542,354",3218315.04
2021,August,"524,379",2931717.99
2021,July,"565,811",3074522.42
2021,June,"537,416",2959280.41
2021,May,"538,347",2842527.55
2021,April,"527,596",3022098.37
2021,March,"587,474",3171603.68
2021,February,"491,391",2655850.19
2021,January,"458,636",2620069.21
2020,December,"560,998",3159368.37
2020,November,"479,554",2597017
2020,October,"490,835",2740070.87
2020,September,"476,363",2972816.73
2020,August,"477,629",2726800.79
2020,July,"454,281",3323518.6
2020,June,"400,176",2586488.35
2020,May,"394,549",2251403
2020,April,"370,858",2400761.23
2020,March,"402,925",3076602
2020,February,"395,838",2368535.036
2020,January,"420,871",2857436
2019,December,"443,026",2786588.078
2019,November,"417,148",3120294.273
2019,October,"434,677",3102015.82
2019,September,"425,119",2840388.277
2019,August,"409,291",2724207.658
2019,July,"455,526",3115280.275
2019,June,"376,260",2264569.911
2019,May,"441,315",2703059.679
2019,April,"397,647",2570908.145
2019,March,"410,728",2437414
2019,February,"367,569",2281970.214
2019,January,"369,560",2573061.921
2018,December,"404,728",2364002.153
2018,November,"391,172",3069186.463
2018,October,"410,098",2623015.419
2018,September,"359,755",2370745.717
2018,August,"401,761",2426825.016
2018,July,"406,344",2581426
2018,June,"365,446",2432512
2018,May,"419,021",2466320
2018,April,"373,718",2429844
2018,March,"380,042",2244245
2018,February,"326,576",2153839
2018,January,"340,406",2230199
2017,December,"371,708",2442984
2017,November,"430,163",2482156
2017,October,"340,390",2653222
2017,September,"337,686",2412155
2017,August,"333,586",2539911
2017,July,"363,664",2455936
2017,June,"371,661",2368094
2017,May,"391,729",2408131
2017,April,"396,353",2378844
2017,March,"402,962",2655289
2017,February,"322,688",2200493
2017,January,"319,667",2145545
2016,December,"586,309",2474777
2016,November,"348,017",2331031
2016,October,"329,217",2290588
2016,September,"327,906",2120543
2016,August,"328,444",2363214
2016,July,"336,319",2006033
2016,June,"303,742",2231728
2016,May,"293,403",2086073
2016,April,"294,922",2123227
2016,March,"276,461",2231859
2016,February,"323,094",2263671
2016,January,"328,444",2363214
2016,January,"226,495",2171499
2015,December,"310,853",2442285
2015,November,"248,109",2104071
2015,October,"273,487",3070403
2015,September,"266,523",2890885
2015,August,"258,992",2849294
2015,July,"266,342",2836132
2015,June,"242,187",2473549
2015,May,"246,925",2132391
2015,April,"245,227",2329964
2015,March,"258,357",2414005
